user_id,survey_date,company_size,confusion_during_onboarding,feature_request,nps_score
USR00170,2024-11-08,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,4
USR00171,2024-11-16,21-99,Would love to see templates for common use cases,Needed examples or templates,4
USR00172,2024-11-05,21-99,Unclear on the format for tasks,Unclear what tasks should look like,4
USR00173,2024-11-24,5-20,No idea what my first task should be,Didn't know what to create,7
USR00174,2024-11-22,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,8
USR00175,2024-11-05,5-20,The empty project was intimidating,Felt overwhelmed by blank canvas,8
USR00176,2024-11-02,5-20,Expected some direction on where to start,Didn't know what to create,7
USR00177,2024-11-03,21-99,"Coming from Asana, I expected some starter templates",Needed examples or templates,6
USR00178,2024-11-06,5-20,Unclear on the format for tasks,Unclear what tasks should look like,8
USR00179,2024-11-14,21-99,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,6
USR00180,2024-11-26,100+,Not sure what level of detail to use,Unclear what tasks should look like,7
USR00181,2024-11-12,5-20,Would love to see templates for common use cases,Needed examples or templates,5
USR00182,2024-11-07,5-20,Need guidance on task structure,Unclear what tasks should look like,8
USR00183,2024-11-02,21-99,Unclear on the format for tasks,Unclear what tasks should look like,4
USR00184,2024-11-15,5-20,Wish there was some guidance on what to create,Didn't know what to create,4
USR00185,2024-11-08,21-99,Show me what good looks like with samples,Needed examples or templates,7
USR00186,2024-11-16,100+,Expected some direction on where to start,Didn't know what to create,6
USR00187,2024-11-01,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,6
USR00188,2024-11-11,5-20,Some examples would have been super helpful,Needed examples or templates,5
USR00189,2024-11-29,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,7
USR00190,2024-11-05,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,4
USR00191,2024-11-18,100+,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,4
USR00192,2024-11-10,21-99,Blank slate made me anxious,Felt overwhelmed by blank canvas,6
USR00193,2024-11-30,5-20,Unclear on the format for tasks,Unclear what tasks should look like,7
USR00194,2024-11-05,5-20,Unclear on the format for tasks,Unclear what tasks should look like,5
USR00195,2024-11-30,5-20,Need guidance on task structure,Unclear what tasks should look like,6
USR00196,2024-11-04,5-20,What makes a good task vs a bad one?,Unclear what tasks should look like,7
USR00197,2024-11-09,100+,Show me what good looks like with samples,Needed examples or templates,7
USR00198,2024-11-19,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,8
USR00199,2024-11-11,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,4
USR00200,2024-11-13,100+,Would love to see templates for common use cases,Needed examples or templates,7
USR00201,2024-11-10,100+,Show me what good looks like with samples,Needed examples or templates,7
USR00202,2024-11-18,100+,Just sat there confused about what to put in,Didn't know what to create,4
USR00203,2024-11-03,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,7
USR00204,2024-11-24,5-20,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,8
USR00205,2024-11-05,100+,What makes a good task vs a bad one?,Unclear what tasks should look like,8
USR00206,2024-11-01,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,7
USR00207,2024-11-21,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,8
USR00208,2024-11-27,5-20,Show me what good looks like with samples,Needed examples or templates,5
USR00209,2024-11-14,21-99,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,5
USR00210,2024-11-16,100+,The empty project was intimidating,Felt overwhelmed by blank canvas,5
USR00211,2024-11-12,5-20,Would love to see templates for common use cases,Needed examples or templates,4
USR00212,2024-11-05,21-99,Wish there was some guidance on what to create,Didn't know what to create,7
USR00213,2024-11-22,5-20,Show me what good looks like with samples,Needed examples or templates,4
USR00214,2024-11-12,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,6
USR00215,2024-11-25,5-20,Expected some direction on where to start,Didn't know what to create,8
USR00216,2024-11-26,21-99,Unclear on the format for tasks,Unclear what tasks should look like,7
USR00217,2024-11-26,5-20,Show me what good looks like with samples,Needed examples or templates,4
USR00218,2024-11-23,21-99,Wish there was some guidance on what to create,Didn't know what to create,4
USR00219,2024-11-27,21-99,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,6
USR00220,2024-11-21,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,7
USR00221,2024-11-24,100+,Show me what good looks like with samples,Needed examples or templates,7
USR00222,2024-11-28,100+,The empty project was intimidating,Felt overwhelmed by blank canvas,7
USR00223,2024-11-26,5-20,Just sat there confused about what to put in,Didn't know what to create,6
USR00224,2024-11-13,5-20,No idea what my first task should be,Didn't know what to create,5
USR00225,2024-11-28,5-20,Unclear on the format for tasks,Unclear what tasks should look like,8
USR00226,2024-11-03,100+,Unclear on the format for tasks,Unclear what tasks should look like,5
USR00227,2024-11-13,5-20,Just sat there confused about what to put in,Didn't know what to create,5
USR00228,2024-11-17,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,6
USR00229,2024-11-29,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,4
USR00230,2024-11-24,5-20,Need guidance on task structure,Unclear what tasks should look like,7
USR00231,2024-11-14,5-20,Expected some direction on where to start,Didn't know what to create,7
USR00232,2024-11-10,5-20,Expected some direction on where to start,Didn't know what to create,6
USR00233,2024-11-29,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,8
USR00234,2024-11-17,5-20,No idea what my first task should be,Didn't know what to create,6
USR00235,2024-11-22,5-20,No idea what my first task should be,Didn't know what to create,5
USR00236,2024-11-07,21-99,Expected some direction on where to start,Didn't know what to create,4
USR00237,2024-11-01,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,5
USR00238,2024-11-22,100+,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,6
USR00239,2024-11-30,100+,Some examples would have been super helpful,Needed examples or templates,4
USR00240,2024-11-12,100+,Just sat there confused about what to put in,Didn't know what to create,7
USR00241,2024-11-13,5-20,Expected some direction on where to start,Didn't know what to create,8
USR00242,2024-11-27,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,7
USR00243,2024-11-22,100+,Some examples would have been super helpful,Needed examples or templates,7
USR00244,2024-11-30,100+,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,6
USR00245,2024-11-27,5-20,Some examples would have been super helpful,Needed examples or templates,6
USR00246,2024-11-16,21-99,Would love to see templates for common use cases,Needed examples or templates,4
USR00247,2024-11-17,100+,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,8
USR00248,2024-11-14,5-20,How much info should a task have?,Unclear what tasks should look like,4
USR00249,2024-11-16,5-20,Expected some direction on where to start,Didn't know what to create,8
USR00250,2024-11-17,5-20,Expected some direction on where to start,Didn't know what to create,8
USR00251,2024-11-16,100+,"Coming from Asana, I expected some starter templates",Needed examples or templates,5
USR00252,2024-11-06,5-20,Expected some direction on where to start,Didn't know what to create,6
USR00253,2024-11-23,5-20,How much info should a task have?,Unclear what tasks should look like,8
USR00254,2024-11-27,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,8
USR00255,2024-11-14,100+,Just sat there confused about what to put in,Didn't know what to create,7
USR00256,2024-11-05,5-20,What makes a good task vs a bad one?,Unclear what tasks should look like,5
USR00257,2024-11-19,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,6
USR00258,2024-11-08,5-20,No idea what my first task should be,Didn't know what to create,8
USR00259,2024-11-27,21-99,The empty project was intimidating,Felt overwhelmed by blank canvas,4
USR00260,2024-11-30,5-20,Unclear on the format for tasks,Unclear what tasks should look like,4
USR00261,2024-11-13,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,6
USR00262,2024-11-17,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,6
USR00263,2024-11-05,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,6
USR00264,2024-11-07,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,6
USR00265,2024-11-15,21-99,Just sat there confused about what to put in,Didn't know what to create,8
USR00266,2024-11-29,5-20,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,4
USR00267,2024-11-22,5-20,Just sat there confused about what to put in,Didn't know what to create,7
USR00268,2024-11-30,21-99,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,8
USR00269,2024-11-23,100+,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,7
USR00270,2024-11-22,5-20,Show me what good looks like with samples,Needed examples or templates,5
USR00271,2024-11-11,100+,Not sure what level of detail to use,Unclear what tasks should look like,8
USR00272,2024-11-20,21-99,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,5
USR00273,2024-11-09,100+,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,5
USR00274,2024-11-19,5-20,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,6
USR00275,2024-11-05,5-20,Not sure what level of detail to use,Unclear what tasks should look like,7
USR00276,2024-11-19,5-20,Show me what good looks like with samples,Needed examples or templates,8
USR00277,2024-11-29,21-99,The empty project was intimidating,Felt overwhelmed by blank canvas,5
USR00278,2024-11-21,100+,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,4
USR00279,2024-11-22,100+,How much info should a task have?,Unclear what tasks should look like,4
USR00280,2024-11-07,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,4
USR00281,2024-11-30,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,4
USR00282,2024-11-19,5-20,Wish there was some guidance on what to create,Didn't know what to create,7
USR00283,2024-11-06,100+,Would love to see templates for common use cases,Needed examples or templates,5
USR00284,2024-11-02,5-20,Just sat there confused about what to put in,Didn't know what to create,5
USR00285,2024-11-21,21-99,Unclear on the format for tasks,Unclear what tasks should look like,4
USR00286,2024-11-17,5-20,No idea what my first task should be,Didn't know what to create,7
USR00287,2024-11-05,5-20,The empty project was intimidating,Felt overwhelmed by blank canvas,6
USR00288,2024-11-01,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,6
USR00289,2024-11-28,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,4
USR00290,2024-11-22,5-20,No idea what my first task should be,Didn't know what to create,6
USR00291,2024-11-17,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,4
USR00292,2024-11-16,5-20,Expected some direction on where to start,Didn't know what to create,5
USR00293,2024-11-24,21-99,Show me what good looks like with samples,Needed examples or templates,8
USR00294,2024-11-20,21-99,Wish there was some guidance on what to create,Didn't know what to create,4
USR00295,2024-11-10,21-99,Expected some direction on where to start,Didn't know what to create,4
USR00296,2024-11-15,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,5
USR00297,2024-11-22,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,7
USR00298,2024-11-16,21-99,"Coming from Asana, I expected some starter templates",Needed examples or templates,6
USR00299,2024-11-09,5-20,No idea what my first task should be,Didn't know what to create,7
USR00300,2024-11-12,5-20,Wish there was some guidance on what to create,Didn't know what to create,6
USR00301,2024-11-18,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,5
USR00302,2024-11-30,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,5
USR00303,2024-11-19,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,8
USR00304,2024-11-09,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,4
USR00305,2024-11-12,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,6
USR00306,2024-11-27,21-99,Some examples would have been super helpful,Needed examples or templates,5
USR00307,2024-11-16,100+,"Coming from Asana, I expected some starter templates",Needed examples or templates,7
USR00308,2024-11-16,5-20,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,4
USR00309,2024-11-27,5-20,Not sure what level of detail to use,Unclear what tasks should look like,5
USR00310,2024-11-15,21-99,Just sat there confused about what to put in,Didn't know what to create,6
USR00311,2024-11-20,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,6
USR00312,2024-11-15,21-99,How much info should a task have?,Unclear what tasks should look like,4
USR00313,2024-11-26,100+,How much info should a task have?,Unclear what tasks should look like,5
USR00314,2024-11-02,100+,Unclear on the format for tasks,Unclear what tasks should look like,8
USR00315,2024-11-03,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,5
USR00316,2024-11-13,5-20,Wish there was some guidance on what to create,Didn't know what to create,6
USR00317,2024-11-09,5-20,Expected some direction on where to start,Didn't know what to create,7
USR00318,2024-11-19,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,4
USR00319,2024-11-15,21-99,What makes a good task vs a bad one?,Unclear what tasks should look like,7
USR00320,2024-11-23,5-20,Just sat there confused about what to put in,Didn't know what to create,8
USR00321,2024-11-02,100+,Unclear on the format for tasks,Unclear what tasks should look like,7
USR00322,2024-11-04,5-20,How much info should a task have?,Unclear what tasks should look like,8
USR00323,2024-11-25,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,8
USR00324,2024-11-02,100+,No idea what my first task should be,Didn't know what to create,6
