response_id,timestamp,role,company_size,industry,uses_taskflow_mobile_web,mobile_web_satisfaction,wants_native_app,mobile_importance,primary_mobile_use_case,would_pay_more,competitor_mobile_used,additional_comments
76,2024-10-02 15:58:42,Project Manager,501-1000,Enterprise,Yes,2,Yes,High,Program tracking,Yes,Jira,""
77,2024-10-02 16:11:58,Designer,11-50,Design Agency,Yes,2,Yes,Medium,Asset management,Maybe,Monday,""
78,2024-10-02 16:25:12,Engineering Lead,201-500,Technology,Yes,2,Yes,High,On-call duties,Yes,Linear,""
79,2024-10-02 16:38:28,Product Manager,51-200,Fintech,Yes,2,Yes,High,Feature tracking,Yes,Asana,""
80,2024-10-02 16:51:45,CEO,1-10,Startup,Yes,1,Yes,Critical,Company oversight,Yes,Notion,""
81,2024-10-03 08:22:18,Operations Manager,201-500,Logistics,No,N/A,Yes,Critical,Route planning,Yes,None,""
82,2024-10-03 08:35:32,Product Manager,11-50,Technology,Yes,2,Yes,High,Sprint updates,Yes,Linear,""
83,2024-10-03 08:48:49,Engineering Manager,51-200,Technology,Yes,3,Yes,High,Team sync,Maybe,Linear,""
84,2024-10-03 09:02:01,Project Manager,201-500,Construction,No,N/A,Yes,Critical,Site inspections,Yes,Procore,""
85,2024-10-03 09:15:18,Designer,51-200,Technology,Yes,2,Yes,Medium,Design handoff,Maybe,Figma,""
86,2024-10-03 09:28:35,Product Manager,501-1000,Financial Services,Yes,2,Yes,Critical,Risk tracking,Yes,Monday,""
87,2024-10-03 09:41:48,Founder,1-10,Startup,Yes,1,Yes,Critical,Everything,Yes,Notion,""
88,2024-10-03 09:55:02,Engineering Lead,11-50,SaaS,Yes,2,Yes,High,Deploy status,Yes,Linear,""
89,2024-10-03 10:08:22,Operations Lead,51-200,Healthcare,No,N/A,Yes,Critical,Staff tasks,Yes,None,""
90,2024-10-03 10:21:38,Product Manager,201-500,Technology,Yes,2,Yes,High,Customer feedback,Yes,Asana,""
91,2024-10-03 10:34:52,Project Manager,11-50,Agency,Yes,2,Yes,High,Deliverables,Yes,Monday,""
92,2024-10-03 10:48:08,Designer,201-500,E-commerce,Yes,2,Yes,Medium,Campaign assets,Maybe,Figma,""
93,2024-10-03 11:01:25,Engineering Manager,51-200,Technology,Yes,2,Yes,High,Incident tracking,Yes,Linear,""
94,2024-10-03 11:14:38,Product Manager,11-50,EdTech,Yes,2,Yes,High,Content tracking,Yes,Asana,""
95,2024-10-03 11:27:55,CEO,11-50,Consulting,Yes,1,Yes,Critical,Client visibility,Yes,Notion,""
96,2024-10-03 11:41:12,Operations Manager,501-1000,Hospitality,No,N/A,Yes,Critical,Guest services,Yes,None,""
97,2024-10-03 11:54:28,Product Manager,51-200,Technology,Yes,3,Yes,High,Feature requests,Maybe,Linear,""
98,2024-10-03 12:07:42,Engineering Lead,201-500,Enterprise,Yes,2,Yes,High,Sprint health,Yes,Jira,""
99,2024-10-03 12:20:58,Project Manager,51-200,Events,Yes,1,Yes,Critical,Event logistics,Yes,Asana,""
100,2024-10-03 12:34:15,Designer,11-50,Design Agency,Yes,2,Yes,Medium,Client reviews,Maybe,Monday,""
101,2024-10-03 12:47:29,Product Manager,201-500,Healthcare,Yes,1,Yes,Critical,Care tasks,Yes,Monday,""
102,2024-10-03 13:00:45,Founder,1-10,Startup,Yes,1,Yes,Critical,Survival mode,Yes,Notion,""
103,2024-10-03 13:13:58,Engineering Manager,11-50,Technology,Yes,2,Yes,High,Code reviews,Yes,Linear,""
104,2024-10-03 13:27:12,Operations Lead,201-500,Manufacturing,No,N/A,Yes,Critical,Line management,Yes,None,""
105,2024-10-03 13:40:28,Product Manager,51-200,Fintech,Yes,2,Yes,High,Compliance,Yes,Asana,""
106,2024-10-03 13:53:42,Project Manager,501-1000,Technology,Yes,2,Yes,High,Program status,Yes,Monday,""
107,2024-10-03 14:06:58,Designer,51-200,Technology,Yes,3,Yes,Medium,Review cycles,Maybe,Figma,""
108,2024-10-03 14:20:15,Engineering Lead,51-200,SaaS,Yes,2,Yes,High,Release notes,Yes,Linear,""
109,2024-10-03 14:33:29,Product Manager,11-50,Technology,Yes,2,Yes,High,Backlog,Yes,Asana,""
110,2024-10-03 14:46:42,CEO,1-10,Startup,Yes,1,Yes,Critical,Everything,Yes,Notion,""
111,2024-10-03 15:00:01,Operations Manager,51-200,Retail,No,N/A,Yes,Critical,Store ops,Yes,None,""
112,2024-10-03 15:13:18,Product Manager,201-500,Technology,Yes,2,Yes,High,Metrics review,Yes,Linear,""
113,2024-10-03 15:26:32,Engineering Manager,201-500,Technology,Yes,2,Yes,High,Team updates,Yes,Linear,""
114,2024-10-03 15:39:48,Project Manager,11-50,Consulting,Yes,2,Yes,Critical,Client work,Yes,Asana,""
115,2024-10-03 15:53:02,Designer,201-500,E-commerce,Yes,2,Yes,Medium,Promos,Maybe,Figma,""
116,2024-10-03 16:06:18,Product Manager,51-200,Healthcare,Yes,1,Yes,Critical,Patient care,Yes,Monday,""
117,2024-10-03 16:19:35,Founder,11-50,Agency,Yes,2,Yes,Critical,Client projects,Yes,Monday,""
118,2024-10-03 16:32:49,Engineering Lead,11-50,Startup,Yes,2,Yes,High,Sprint tracking,Yes,Linear,""
119,2024-10-03 16:46:02,Operations Lead,501-1000,Logistics,No,N/A,Yes,Critical,Fleet ops,Yes,None,""
120,2024-10-03 16:59:22,Product Manager,201-500,Fintech,Yes,2,Yes,High,Audit trail,Yes,Asana,""
121,2024-10-04 08:15:42,Project Manager,51-200,Events,Yes,1,Yes,Critical,Show day,Yes,Asana,""
122,2024-10-04 08:28:58,Designer,11-50,Technology,Yes,3,Yes,Medium,Feedback,Maybe,Figma,""
123,2024-10-04 08:42:12,Engineering Manager,201-500,Enterprise,Yes,2,Yes,High,Incidents,Yes,Jira,""
124,2024-10-04 08:55:28,Product Manager,11-50,EdTech,Yes,2,Yes,High,Course dev,Yes,Asana,""
125,2024-10-04 09:08:45,CEO,1-10,Startup,Yes,1,Yes,Critical,All the things,Yes,Notion,""
126,2024-10-04 09:21:58,Operations Manager,201-500,Healthcare,No,N/A,Yes,Critical,Ward tasks,Yes,None,""
127,2024-10-04 09:35:15,Product Manager,51-200,Technology,Yes,2,Yes,High,Roadmap,Yes,Linear,""
128,2024-10-04 09:48:32,Engineering Lead,51-200,SaaS,Yes,2,Yes,High,Deploys,Yes,Linear,""
129,2024-10-04 10:01:48,Project Manager,201-500,Construction,No,N/A,Yes,Critical,Site work,Yes,Procore,""
130,2024-10-04 10:15:02,Designer,51-200,Design Agency,Yes,2,Yes,Medium,Revisions,Maybe,Monday,""
131,2024-10-04 10:28:18,Product Manager,501-1000,Financial Services,Yes,2,Yes,Critical,Risk mgmt,Yes,Monday,""
132,2024-10-04 10:41:35,Founder,1-10,Startup,Yes,1,Yes,Critical,Hustle mode,Yes,Notion,""
133,2024-10-04 10:54:48,Engineering Manager,11-50,Technology,Yes,2,Yes,High,Sprints,Yes,Linear,""
134,2024-10-04 11:08:02,Operations Lead,51-200,Manufacturing,No,N/A,Yes,Critical,Floor ops,Yes,None,""
135,2024-10-04 11:21:22,Product Manager,201-500,Technology,Yes,2,Yes,High,Features,Yes,Asana,""
136,2024-10-04 11:34:38,Project Manager,11-50,Agency,Yes,2,Yes,High,Clients,Yes,Monday,""
137,2024-10-04 11:47:52,Designer,201-500,Technology,Yes,3,Yes,Medium,Reviews,Maybe,Figma,""
138,2024-10-04 12:01:08,Engineering Lead,201-500,Technology,Yes,2,Yes,High,On-call,Yes,Linear,""
139,2024-10-04 12:14:25,Product Manager,51-200,Fintech,Yes,2,Yes,High,Tracking,Yes,Asana,""
140,2024-10-04 12:27:42,CEO,11-50,Consulting,Yes,1,Yes,Critical,Oversight,Yes,Notion,""
141,2024-10-04 12:40:55,Operations Manager,501-1000,Retail,No,N/A,Yes,Critical,Stores,Yes,None,""
142,2024-10-04 12:54:12,Product Manager,11-50,Technology,Yes,2,Yes,High,Sprints,Yes,Linear,""
143,2024-10-04 13:07:28,Engineering Manager,51-200,SaaS,Yes,2,Yes,High,Releases,Yes,Linear,""
144,2024-10-04 13:20:42,Project Manager,201-500,Events,Yes,1,Yes,Critical,Logistics,Yes,Asana,""
145,2024-10-04 13:33:58,Designer,11-50,Design Agency,Yes,2,Yes,Medium,Assets,Maybe,Monday,""
146,2024-10-04 13:47:15,Product Manager,201-500,Healthcare,Yes,1,Yes,Critical,Patients,Yes,Monday,""
147,2024-10-04 14:00:29,Founder,1-10,Startup,Yes,1,Yes,Critical,Everything,Yes,Notion,""
148,2024-10-04 14:13:45,Engineering Lead,11-50,Startup,Yes,2,Yes,High,Bugs,Yes,Linear,""
149,2024-10-04 14:27:02,Operations Lead,201-500,Logistics,No,N/A,Yes,Critical,Routes,Yes,None,""
150,2024-10-04 14:40:18,Product Manager,51-200,Technology,Yes,3,Yes,High,Backlog,Maybe,Asana,""
151,2024-10-04 14:53:32,Project Manager,501-1000,Enterprise,Yes,2,Yes,High,Programs,Yes,Jira,""
152,2024-10-04 15:06:48,Designer,51-200,Technology,Yes,2,Yes,Medium,Handoffs,Maybe,Figma,""
153,2024-10-04 15:20:05,Engineering Manager,201-500,Technology,Yes,2,Yes,High,Teams,Yes,Linear,""
154,2024-10-04 15:33:22,Product Manager,11-50,EdTech,Yes,2,Yes,High,Curriculum,Yes,Asana,""
155,2024-10-04 15:46:35,CEO,1-10,Startup,Yes,1,Yes,Critical,Survival,Yes,Notion,""
156,2024-10-04 16:00:01,Operations Manager,51-200,Healthcare,No,N/A,Yes,Critical,Clinical,Yes,None,""
157,2024-10-04 16:13:18,Product Manager,201-500,Fintech,Yes,2,Yes,High,Compliance,Yes,Asana,""
158,2024-10-04 16:26:32,Engineering Lead,51-200,Technology,Yes,2,Yes,High,Monitoring,Yes,Linear,""
159,2024-10-04 16:39:48,Project Manager,11-50,Consulting,Yes,2,Yes,Critical,Clients,Yes,Monday,""
160,2024-10-04 16:53:05,Designer,201-500,E-commerce,Yes,2,Yes,Medium,Campaigns,Maybe,Figma,""
161,2024-10-05 09:08:22,Product Manager,51-200,Technology,Yes,2,Yes,High,Features,Yes,Linear,""
162,2024-10-05 09:21:38,Founder,11-50,Agency,Yes,1,Yes,Critical,Agency life,Yes,Monday,""
163,2024-10-05 09:34:52,Engineering Manager,201-500,Enterprise,Yes,2,Yes,High,Incidents,Yes,Jira,""
164,2024-10-05 09:48:08,Operations Lead,501-1000,Manufacturing,No,N/A,Yes,Critical,Production,Yes,None,""
165,2024-10-05 10:01:25,Product Manager,11-50,Healthcare,Yes,1,Yes,Critical,Care tasks,Yes,Monday,""
166,2024-10-05 10:14:42,Project Manager,51-200,Events,Yes,1,Yes,Critical,Shows,Yes,Asana,""
167,2024-10-05 10:27:55,Designer,11-50,Technology,Yes,3,Yes,Medium,Feedback,Maybe,Figma,""
168,2024-10-05 10:41:12,Engineering Lead,11-50,SaaS,Yes,2,Yes,High,Deploys,Yes,Linear,""
169,2024-10-05 10:54:28,Product Manager,201-500,Technology,Yes,2,Yes,High,Roadmap,Yes,Asana,""
170,2024-10-05 11:07:42,CEO,1-10,Startup,Yes,1,Yes,Critical,All,Yes,Notion,""
171,2024-10-05 11:20:58,Operations Manager,201-500,Retail,No,N/A,Yes,Critical,Stores,Yes,None,""
172,2024-10-05 11:34:15,Product Manager,51-200,Fintech,Yes,2,Yes,High,Audit,Yes,Asana,""
173,2024-10-05 11:47:32,Engineering Manager,51-200,Technology,Yes,2,Yes,High,Sprint,Yes,Linear,""
174,2024-10-05 12:00:45,Project Manager,201-500,Construction,No,N/A,Yes,Critical,Sites,Yes,Procore,""
175,2024-10-05 12:13:58,Designer,51-200,Design Agency,Yes,2,Yes,Medium,Reviews,Maybe,Monday,""
176,2024-10-05 12:27:18,Product Manager,501-1000,Financial Services,Yes,2,Yes,Critical,Risk,Yes,Monday,""
177,2024-10-05 12:40:35,Founder,1-10,Startup,Yes,1,Yes,Critical,Chaos,Yes,Notion,""
178,2024-10-05 12:53:48,Engineering Lead,201-500,Technology,Yes,2,Yes,High,On-call,Yes,Linear,""
179,2024-10-05 13:07:02,Operations Lead,51-200,Healthcare,No,N/A,Yes,Critical,Nursing,Yes,None,""
180,2024-10-05 13:20:22,Product Manager,11-50,Technology,Yes,2,Yes,High,Backlog,Yes,Linear,""
181,2024-10-05 13:33:38,Project Manager,11-50,Agency,Yes,2,Yes,High,Delivery,Yes,Monday,""
182,2024-10-05 13:46:52,Designer,201-500,Technology,Yes,3,Yes,Medium,Specs,Maybe,Figma,""
183,2024-10-05 14:00:08,Engineering Manager,11-50,Startup,Yes,2,Yes,High,Bugs,Yes,Linear,""
184,2024-10-05 14:13:25,Product Manager,201-500,Healthcare,Yes,1,Yes,Critical,Patients,Yes,Monday,""
185,2024-10-05 14:26:42,CEO,11-50,Consulting,Yes,1,Yes,Critical,Clients,Yes,Notion,""
186,2024-10-05 14:39:55,Operations Manager,501-1000,Logistics,No,N/A,Yes,Critical,Fleet,Yes,None,""
187,2024-10-05 14:53:12,Product Manager,51-200,EdTech,Yes,2,Yes,High,Content,Yes,Asana,""
188,2024-10-05 15:06:28,Engineering Lead,51-200,SaaS,Yes,2,Yes,High,Releases,Yes,Linear,""
189,2024-10-05 15:19:42,Project Manager,201-500,Events,Yes,1,Yes,Critical,Events,Yes,Asana,""
190,2024-10-05 15:32:58,Designer,11-50,Design Agency,Yes,2,Yes,Medium,Clients,Maybe,Monday,""
191,2024-10-05 15:46:15,Product Manager,11-50,Technology,Yes,2,Yes,High,Sprint,Yes,Linear,""
192,2024-10-05 15:59:32,Founder,1-10,Startup,Yes,1,Yes,Critical,Everything,Yes,Notion,""
193,2024-10-05 16:12:45,Engineering Manager,201-500,Technology,Yes,2,Yes,High,Teams,Yes,Linear,""
194,2024-10-05 16:25:58,Operations Lead,201-500,Manufacturing,No,N/A,Yes,Critical,Lines,Yes,None,""
195,2024-10-05 16:39:15,Product Manager,201-500,Fintech,Yes,2,Yes,High,Tracking,Yes,Asana,""
196,2024-10-05 16:52:32,Project Manager,51-200,Healthcare,Yes,1,Yes,Critical,Care,Yes,Monday,""
197,2024-10-05 17:05:48,Designer,51-200,Technology,Yes,2,Yes,Medium,Feedback,Maybe,Figma,""
198,2024-10-05 17:19:02,Engineering Lead,11-50,Technology,Yes,2,Yes,High,Deploys,Yes,Linear,""
199,2024-10-05 17:32:22,Product Manager,51-200,Technology,Yes,3,Yes,High,Features,Maybe,Asana,""
200,2024-10-05 17:45:38,CEO,1-10,Startup,Yes,1,Yes,Critical,Startup life,Yes,Notion,"Please build an app!"
